순위, 이름,대표소환사명,최근 소속,M,W,L,승률,TK(,TD,TA,K/M,D/M,A/M,KDA,킬관여
216,권영재,Helper,Ever8 Winners,33,10,23,0.303,43,92,166,1.3,2.8,5,2.3,0.641
217,최준식,Pirean,SK Telecom T1,19,10,9,0.526,45,34,65,2.4,1.8,3.4,3.2,0.663
218,전태권,Zenit,한화생명e스포츠,31,10,21,0.323,76,80,125,2.5,2.6,4,2.5,0.689
219,최엘림,Ellim,SK Telecom T1,16,10,6,0.625,33,25,134,2.1,1.6,8.4,6.7,0.718
220,김대웅,MOKUZA,Najin e-mFire,21,9,12,0.429,38,58,161,1.8,2.8,7.7,3.4,0.687
221,채우철,viNylCat,NaJin Shield,23,9,14,0.391,10,67,201,0.4,2.9,8.7,3.1,0.653
222,김애준,Raven,Jin Air Falcons,22,9,13,0.409,81,87,110,3.7,4,5,2.2,0.642
223,한겨레,Leo,SANDBOX Gaming,22,9,13,0.409,57,36,93,2.6,1.6,4.2,4.2,0.636
224,원준호,ReSEt,,16,8,8,0.5,27,68,120,1.7,4.3,7.5,2.2,0.694
225,손창훈,Wall,,16,8,8,0.5,15,53,130,0.9,3.3,8.1,2.7,0.678
226,윤상호,Catch,ES Sharks,43,8,35,0.186,47,137,198,1.1,3.2,4.6,1.8,0.668
227,김준서,Crush,SANDBOX Gaming,44,8,36,0.182,77,118,164,1.8,2.7,3.7,2,0.668
228,연형모,ActScene,Team WE,22,7,15,0.318,58,88,159,2.6,4,7.2,2.5,0.75
229,곽나훈,Ella,Ever8 Winners,29,7,22,0.241,14,81,148,0.5,2.8,5.1,2,0.588
230,박단원,Tank,ESports Connected,14,7,7,0.5,52,41,80,3.7,2.9,5.7,3.2,0.686
231,해성민,Cry,EDward Gaming,12,7,5,0.583,27,28,63,2.3,2.3,5.3,3.2,0.658
232,김준형,Profit,SK Telecom T1,9,7,2,0.778,18,10,69,2,1.1,7.7,8.7,0.711
233,이윤재,Rush,KT Rolster,12,7,5,0.583,18,30,50,1.5,2.5,4.2,2.3,0.532
234,김성훈,ashart,(구)팀OP,11,6,5,0.545,7,25,121,0.6,2.3,11,5.1,0.64
235,이한길,Me5,Samsung Blue,29,6,23,0.207,20,119,256,0.7,4.1,8.8,2.3,0.667
236,김윤재,Longpanda,Team NB,26,6,20,0.231,66,112,123,2.5,4.3,4.7,1.7,0.583
237,김한샘,GimGoon,FunPlus Phoenix,13,6,7,0.462,23,34,76,1.8,2.6,5.8,2.9,0.537
238,김재훈,Miso,인벤져스,21,6,15,0.286,60,82,101,2.9,3.9,4.8,2,0.645
239,장경호,Luna,Samsung Galaxy,22,6,16,0.273,13,83,120,0.6,3.8,5.5,1.6,0.605
240,석현준,Hipo,Team BattleComics,35,6,29,0.171,34,129,127,1,3.7,3.6,1.2,0.591
241,안순호,SuNo,SK Gaming,13,5,8,0.385,52,41,85,4,3.2,6.5,3.3,0.702
242,김주호,Flahm,Samsung Galaxy,14,5,9,0.357,17,56,135,1.2,4,9.6,2.7,0.658
243,김의진,Reignover,Counter Logic Gaming,18,5,13,0.278,34,68,112,1.9,3.8,6.2,2.1,0.629
244,주민규,Limit,KT Rolster,10,5,5,0.5,18,22,60,1.8,2.2,6,3.5,0.579
245,신형섭,Rather,Flash Wolves,8,5,3,0.625,19,12,32,2.4,1.5,4,4.3,0.76
246,이동주,DuDu,한화생명e스포츠,20,5,15,0.25,43,66,61,2.2,3.3,3.1,1.6,0.563
247,한규준,Lonely,SANDBOX Gaming,12,5,7,0.417,29,37,65,2.4,3.1,5.4,2.5,0.679
248,조현철,ming9,MVP White,9,4,5,0.444,13,25,107,1.4,2.8,11.9,4.8,0.704
249,이인용,Bbuing,MKZ,18,4,14,0.222,11,82,107,0.6,4.6,5.9,1.4,0.623
250,천민기,Promis,훈수좋은날,10,4,6,0.4,35,26,53,3.5,2.6,5.3,3.4,0.622
251,백승민,Riris,VSG,10,4,6,0.4,82,35,42,8.2,3.5,4.2,3.5,0.666
